                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                 nthreads               calc_stats                 numtbins                 numrbins                    pimax                     zbin                  numgals              calc_wtheta         wt_galgal_counts       wt_randrand_counts        wt_galrand_counts          wt_counts_to_cf                  calc_xi                  calc_wp
                50219.231                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                     0.11                       24       1556853069.2107437                       75                       75                      300                     0.25                   475642                     2.18                     0.03                     1.65                      0.5                      0.0                     0.02                     0.06
               50219.2313                     0.19                      0.0                      0.0                      0.0                     0.02                     0.15                  4000000                      0.0                     0.02                     0.12                       24        1556853217.127755                       75                       75                      300                     0.25                   475427                     2.48                     0.03                     1.97                     0.48                      0.0                     0.02                     0.06
               50219.2316                     0.17                      0.0                      0.0                      0.0                     0.02                     0.14                  4000000                      0.0                     0.02                     0.11                       24       1556853382.0659862                       75                       75                      300                     0.25                   475630                     2.04                     0.03                     1.68                     0.32                      0.0                     0.01                     0.04
               50219.2318                     0.15                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                      0.1                       24       1556853517.4524786                       75                       75                      300                     0.25                   476493                     2.07                     0.02                     1.56                     0.49                      0.0                     0.02                     0.06
                50219.232                     0.18                      0.0                      0.0                      0.0                     0.01                     0.15                  4000000                      0.0                     0.02                     0.12                       24       1556853658.7010193                       75                       75                      300                     0.25                   476298                     2.48                     0.03                     1.96                     0.48                      0.0                     0.02                     0.06
               50219.2311                      0.3                      0.0                      0.0                     0.02                     0.11                     0.16                  4000000                      0.0                     0.04                     0.11                       24       1556853107.7456334                       75                       75                      300                      1.2                  3801032                    28.42                     7.41                     8.27                    12.75                      0.0                     0.11                     0.33
               50219.2323                     0.18                      0.0                      0.0                      0.0                     0.01                     0.15                  4000000                      0.0                     0.03                     0.12                       24       1556853824.1761925                       75                       75                      300                     0.75                   475024                    25.39                     0.35                    21.26                     3.79                      0.0                     0.02                     0.06
                50219.234                     0.26                      0.0                      0.0                     0.01                     0.09                     0.14                  4000000                      0.0                     0.04                     0.09                       24       1556854856.3711205                       75                       75                      300                      1.2                  3808416                    25.97                     5.65                     7.81                    12.51                      0.0                     0.11                     0.33
               50219.2349                     0.19                      0.0                      0.0                      0.0                     0.02                     0.15                  4000000                      0.0                     0.03                     0.11                       24       1556855364.7273552                       75                       75                      300                     0.75                   475298                    25.24                     0.34                    21.43                     3.47                      0.0                     0.02                     0.06
               50319.0007                     0.25                      0.0                      0.0                     0.01                     0.09                     0.14                  4000000                      0.0                     0.03                      0.1                       24        1556856457.795829                       75                       75                      300                      1.2                  3809288                    26.05                     5.83                      8.2                    12.02                      0.0                     0.11                     0.34
               50319.0014                     0.18                      0.0                      0.0                      0.0                     0.02                     0.14                  4000000                      0.0                     0.03                     0.11                       24        1556856895.672478                       75                       75                      300                     0.75                   476407                    25.51                     0.34                    21.27                      3.9                      0.0                     0.02                     0.04
               50319.0034                     0.25                      0.0                      0.0                     0.01                     0.09                     0.13                  4000000                      0.0                     0.04                     0.09                       24         1556858063.75942                       75                       75                      300                      1.2                  3807320                    26.41                     6.37                     8.54                     11.5                      0.0                     0.11                     0.32
                50319.004                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556858438.6981661                       75                       75                      300                     0.75                   475731                    26.09                     0.25                    21.48                     4.36                      0.0                     0.02                     0.05
               50319.0101                     0.24                      0.0                      0.0                     0.01                     0.09                     0.13                  4000000                      0.0                     0.03                     0.09                       24       1556859689.4201205                       75                       75                      300                      1.2                  3801488                    26.37                     6.82                     8.45                     11.1                      0.0                     0.11                     0.31
               50319.0106                     0.16                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556860018.6195638                       75                       75                      300                     0.75                   476122                    25.78                     0.26                    21.15                     4.36                      0.0                     0.02                     0.06
               50319.0128                     0.26                      0.0                      0.0                     0.01                     0.08                     0.15                  4000000                      0.0                     0.04                     0.11                       24        1556861313.252792                       75                       75                      300                      1.2                  3808776                     26.2                      7.1                      8.3                     10.8                      0.0                     0.16                      0.5
               50319.0132                     0.18                      0.0                      0.0                      0.0                     0.01                     0.14                  4000000                      0.0                     0.03                     0.11                       24       1556861581.4534116                       75                       75                      300                     0.75                   476205                    25.07                     0.35                    20.78                     3.94                      0.0                     0.02                     0.06
               50319.0155                     0.27                      0.0                      0.0                     0.01                      0.1                     0.14                  4000000                      0.0                     0.04                      0.1                       24       1556862942.0716197                       75                       75                      300                      1.2                  3805456                    25.62                     7.12                     7.91                    10.58                      0.0                     0.14                     0.44
               50319.0158                     0.19                      0.0                      0.0                      0.0                     0.02                     0.15                  4000000                      0.0                     0.03                     0.11                       24       1556863102.5541377                       75                       75                      300                     0.75                   475304                    24.86                     0.35                    20.83                     3.67                      0.0                     0.02                     0.06
               50319.0223                     0.18                      0.0                      0.0                      0.0                     0.02                     0.14                  4000000                      0.0                     0.03                     0.11                       24       1556864610.9849763                       75                       75                      300                     0.75                   476016                    24.98                     0.36                    21.17                     3.45                      0.0                     0.02                     0.06
               50319.0221                     0.27                      0.0                      0.0                     0.01                      0.1                     0.14                  4000000                      0.0                     0.03                      0.1                       24       1556864531.1065934                       75                       75                      300                      1.2                  3809752                    25.91                     7.37                     7.56                    10.98                      0.0                     0.12                     0.36
               50319.0248                     0.16                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556866125.0433135                       75                       75                      300                     0.75                   476562                    25.71                     0.26                    21.48                     3.96                      0.0                     0.02                     0.04
               50319.0248                     0.25                      0.0                      0.0                     0.01                     0.09                     0.14                  4000000                      0.0                     0.03                      0.1                       24       1556866131.3409212                       75                       75                      300                      1.2                  3805416                    26.37                     7.87                      7.3                     11.2                      0.0                     0.16                      0.5
               50319.0314                     0.15                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556867680.9636152                       75                       75                      300                     0.75                   475302                    26.03                     0.26                    21.45                     4.31                      0.0                     0.02                     0.05
               50319.0315                     0.29                      0.0                      0.0                     0.01                      0.1                     0.15                  4000000                      0.0                     0.04                     0.11                       24        1556867771.268439                       75                       75                      300                      1.2                  3802952                    26.26                     7.78                     7.17                    11.31                      0.0                     0.16                      0.5
                50319.034                     0.17                      0.0                      0.0                      0.0                     0.01                     0.13                  4000000                      0.0                     0.02                      0.1                       24       1556869257.3418493                       75                       75                      300                     0.75                   475751                    19.23                     0.27                     16.1                     2.87                      0.0                     0.02                     0.04
                 50319.04                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556870423.4762733                       75                       75                      300                     0.75                   475318                    18.75                     0.23                    15.66                     2.86                      0.0                     0.02                     0.04
               50319.0419                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556871560.5953772                       75                       75                      300                     0.75                   475971                    18.92                     0.24                    15.84                     2.85                      0.0                     0.02                     0.04
               50319.0438                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24        1556872708.139562                       75                       75                      300                     0.75                   475188                     18.7                     0.23                    15.62                     2.86                      0.0                     0.01                     0.04
               50319.0457                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24        1556873842.673148                       75                       75                      300                     0.75                   475881                    19.06                     0.24                    15.98                     2.84                      0.0                     0.01                     0.04
               50319.0516                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556874998.5329576                       75                       75                      300                     0.75                   476117                    18.99                     0.24                    15.91                     2.84                      0.0                     0.01                     0.04
               50319.0535                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556876150.2262154                       75                       75                      300                     0.75                   476007                     18.7                     0.24                    15.61                     2.85                      0.0                     0.01                     0.04
               50319.0554                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556877284.3731787                       75                       75                      300                     0.75                   476101                    18.97                     0.24                    15.88                     2.85                      0.0                     0.01                     0.04
               50319.0613                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556878435.1388118                       75                       75                      300                     0.75                   475511                    18.77                     0.23                    15.67                     2.86                      0.0                     0.02                     0.04
               50319.0632                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556879573.7291033                       75                       75                      300                     0.75                   476108                    19.18                     0.25                    16.02                     2.91                      0.0                     0.01                     0.04
               50319.0652                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556880736.7421632                       75                       75                      300                     0.75                   475839                    19.05                     0.25                    15.93                     2.87                      0.0                     0.02                     0.04
               50319.0711                     0.15                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24        1556881892.162917                       75                       75                      300                     0.75                   475971                     18.9                     0.24                    15.79                     2.87                      0.0                     0.01                     0.04
                50319.073                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556883038.6878328                       75                       75                      300                     0.75                   475796                    18.78                     0.23                    15.67                     2.88                      0.0                     0.01                     0.04
               50319.0749                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556884178.0710273                       75                       75                      300                     0.75                   475510                    18.76                     0.23                    15.68                     2.84                      0.0                     0.02                     0.04
               50319.0808                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556885315.858645                       75                       75                      300                     0.75                   476306                    18.86                     0.24                    15.75                     2.87                      0.0                     0.01                     0.04
